Серия,Размер,Рандомная вставка,Отсортированная вставка,Рандомный поиск,Отсортированный поиск,Рандомное удаление,Отсортированное удаление
1,1024,0.00087,0.000723,2.5e-07,2.34e-07,7.3e-07,7.16e-07
2,2048,0.001589,0.001483,2.55e-07,2.57e-07,8.93e-07,8.04e-07
3,4096,0.003461,0.003131,2.85e-07,3.55e-07,9.98e-07,9.34e-07
4,8192,0.007419,0.006434,3.35e-07,3.48e-07,1.159e-06,1.017e-06
5,16384,0.016724,0.01346,4.12e-07,3.37e-07,1.288e-06,1.055e-06
6,32768,0.037643,0.028194,4.18e-07,4.72e-07,1.453e-06,1.18e-06
